STATE,geoid,LOCATION,AREA_SQMI,svi
NY,36059406202,New York,1.2739551436430208e-10,0.3385
NY,36059406400,New York,1.9523346375585438e-10,0.0521
NY,36059406501,New York,1.89640992696031e-10,0.0814
NY,36059406600,New York,1.1589023364695145e-10,0.0059
NY,36059406900,New York,4.6003520672294893e-11,0.8342
NY,36059517600,New York,1.7540741794895537e-10,0.1299
NY,36059517705,New York,6.056480563086617e-10,0.0184
NY,36059517802,New York,9.88472023687883e-11,0.1194
NY,36027070201,New York,4.641350431651673e-10,0.7355
NY,36027190204,New York,3.8388761468213334e-10,0.0261
NY,36027050102,New York,4.1393473641757476e-10,0.193
NY,36027210201,New York,1.5718944141207068e-10,0.5708
NY,36027040001,New York,3.172522857422158e-09,0.644
NY,36027050205,New York,1.997556041448174e-09,0.1481
NY,36027060100,New York,4.0928998804505214e-10,0.4278
NY,36027010000,New York,4.734810750885554e-09,0.8793
NY,36027140801,New York,4.2919294807308463e-10,0.4613
NY,36027140700,New York,4.5208603025224825e-10,0.3605
NY,36027020005,New York,1.474653549933527e-09,0.1609
NY,36027080103,New York,1.4726964398221762e-09,0.2561
NY,36027140400,New York,4.274169864024758e-10,0.236
NY,36027190203,New York,3.371545780261183e-10,0.5608
NY,36027130003,New York,1.403429700867632e-09,0.4642
NY,36055980200,New York,1.2651442014077058e-10,-999.0
NY,36055013511,New York,1.9955419050368705e-10,0.725
NY,36063022602,New York,6.629195659728983e-10,0.5311
NY,36027210301,New York,1.7873432027234826e-10,0.2609
NY,36027220300,New York,8.153557537327538e-11,0.9025
NY,36027221100,New York,3.555115632523146e-11,0.9023
NY,36063022601,New York,3.859520437747488e-10,0.1496
NY,36081012500,New York,6.7147371408376246e-12,0.3335
NY,36081065703,New York,1.104626991839179e-11,0.3419
NY,36081008500,New York,1.1242673055940987e-11,0.8336
NY,36081026901,New York,4.701885483914678e-12,0.7631
NY,36081074900,New York,1.4774471409536653e-11,0.1287
NY,36081099802,New York,4.6166657840689386e-11,0.9793
NY,36081035700,New York,2.5471190639009184e-11,0.943
NY,36081006502,New York,6.315562692371891e-12,0.5279
NY,36081029400,New York,4.3774133168177027e-11,0.6081
NY,36059409100,New York,8.044994882762434e-11,0.1535
NY,36059409200,New York,8.356007186651286e-11,0.0955
NY,36023970202,New York,5.417821667056246e-09,0.1375
NY,36023970201,New York,5.490989290656339e-09,0.1059
NY,36081061301,New York,2.9323771993703516e-11,0.6648
NY,36081072300,New York,1.9342232201544418e-11,0.4661
NY,36081086900,New York,2.526658283393877e-11,0.826
NY,36059409300,New York,5.99448314563802e-11,0.2257
NY,36059409400,New York,5.7250439305834713e-11,0.1576
NY,36059409500,New York,5.992976652853981e-11,0.0106
NY,36059409600,New York,8.881944423669939e-11,0.0441
NY,36059409700,New York,7.110296863773415e-11,0.2495
NY,36059409800,New York,6.789763400398335e-11,0.2909
NY,36059518900,New York,1.7420848185636148e-10,0.2883
NY,36059519100,New York,8.862600790688052e-11,0.2474
NY,36059519200,New York,8.50142895281275e-11,0.1818
NY,36059519300,New York,1.4678101778920146e-10,0.3193
NY,36059519400,New York,5.2692070831078424e-11,0.1036
NY,36059519500,New York,8.179833728241802e-11,0.1983
NY,36059519601,New York,6.409310844861699e-11,0.1027
NY,36059521801,New York,6.754525183603785e-11,0.0477
NY,36059521802,New York,8.388303074543563e-11,0.1348
NY,36059522000,New York,1.2580756023634015e-10,0.2491
NY,36027070401,New York,4.2108736419187183e-10,0.4185
NY,36027070102,New York,8.667730995442606e-10,0.4634
NY,36001014303,New York,3.184561386700555e-10,0.043
NY,36001001803,New York,7.569977395267183e-11,0.0215
NY,36001000302,New York,2.185339459005249e-10,0.3278
NY,36001014617,New York,5.96556883172631e-10,0.0084
NY,36001001804,New York,2.661618596561721e-10,0.5028
NY,36001014616,New York,3.4955066420446366e-10,0.0861
NY,36001013509,New York,2.3420635812904337e-10,0.1303
NY,36001014304,New York,1.6749174908941796e-09,0.1025
NY,36001013603,New York,2.8854223467292606e-10,0.0384
NY,36027220700,New York,9.015751508078901e-11,0.688
NY,36027220901,New York,5.595101939551778e-11,0.6288
NY,36027221001,New York,1.5299612871032615e-10,0.3164
NY,36067011202,New York,1.6177956581105238e-10,0.2529
NY,36027220801,New York,7.806591106317887e-11,0.7317
NY,36067011231,New York,1.1148047911386274e-10,0.2786
NY,36059410000,New York,6.286611258619942e-11,0.4503
NY,36059410200,New York,5.2710957975683225e-11,0.0283
NY,36059410300,New York,5.126199458311672e-11,0.4048
NY,36059410400,New York,5.898751934674051e-11,0.2658
NY,36059410500,New York,8.37262003601554e-11,0.362
NY,36059410700,New York,5.811718713732718e-11,0.3118
NY,36059409900,New York,7.129905459251036e-11,0.2056
NY,36059410800,New York,5.2460879131109784e-11,0.3318
NY,36081015801,New York,1.2159044840030762e-11,0.6524
NY,36059519702,New York,2.593959348496183e-10,0.3613
NY,36059519703,New York,6.381295245130003e-11,0.0721
NY,36059519704,New York,6.056422458597865e-11,0.1605
NY,36059519801,New York,3.415519759438834e-11,0.1723
NY,36059519802,New York,8.983024865488856e-11,0.1232
NY,36059519900,New York,8.831847245152574e-11,0.0645
NY,36059520001,New York,1.8509508025790382e-10,0.3485
NY,36059521601,New York,5.618658138405542e-11,0.1196
NY,36059415802,New York,1.0569586400764785e-10,0.0352
NY,36047101800,New York,1.1663953195276509e-11,0.4602
NY,36047102000,New York,6.454650918549362e-12,0.1875
NY,36047102600,New York,5.585772383170706e-12,0.2512
NY,36081018501,New York,4.055299576564474e-12,0.5358
NY,36047107800,New York,2.0825460988290817e-11,0.7287
NY,36067016700,New York,3.1165596914507734e-09,0.1989
NY,36067016901,New York,2.9054012200090642e-09,0.2402
NY,36067016902,New York,5.149112447524297e-09,0.177
NY,36067012600,New York,2.3846925394017633e-10,0.0588
NY,36047109800,New York,3.5123972879364396e-11,0.8426
NY,36047112200,New York,6.6726020226349864e-12,0.9114
NY,36047112400,New York,7.312857401596664e-12,0.8667
NY,36047112600,New York,6.928323168771652e-12,0.8041
NY,36047112800,New York,7.573223161726552e-12,0.8549
NY,36047113000,New York,7.96962829360228e-12,0.861
NY,36047113200,New York,8.066556111882757e-12,0.6979
NY,36027030000,New York,4.2050271514574275e-09,0.4507
NY,36027070101,New York,1.6119889821012376e-09,0.6701
NY,36027300000,New York,1.319955930520182e-10,0.8372
NY,36027610000,New York,1.378856972091903e-10,0.3128
NY,36001013708,New York,1.9030911016057453e-10,0.0629
NY,36001013804,New York,6.331754924153848e-10,0.5887
NY,36001013604,New York,3.088210993609976e-10,0.2316
NY,36001013803,New York,2.567944869099816e-10,0.2795
NY,36001013511,New York,4.162170727916933e-10,0.2934
NY,36001000202,New York,6.111480449357113e-11,0.7201
NY,36001013512,New York,4.5243146026754174e-10,0.0508
NY,36001013709,New York,1.73363622726415e-10,0.0555
